name,standardized_name
Aaron Schwartz,Aaron M. Schwartz
"Aart J. de Geus, PhD",Aart J. de Geus
"Aart de Geus, Chairman and Chief Executive Officer",Aart J. de Geus
Aart de Geus,Aart J. de Geus
Aart Geus,Aart J. de Geus
Dr. Aart de Geus,Aart J. de Geus
Dr. Aart J. de Geus,Aart J. de Geus
Abhey Lamba,Abhey R. Lamba
Abhey Rattan Lamba,Abhey R. Lamba
Adam Holt,Adam Hathaway Holt
Ajay Kasargod,Ajaykumar Kasargod
Alex Zukin,Alex J. Zukin
Amy Hood,Amy E. Hood
Andrew W. Jeffrey,Andrew Jeffrey
Andrew W. Jeffrey CFA,Andrew Jeffrey
Andrew Wilson,Andrew P. Wilson
Andrew Jeffrey,Andrew W. Jeffrey
Andrew W. Jeffrey CFA,Andrew W. Jeffrey
Arvind Ramnani,Arvind Anil Ramnani
Ashwin Shirvaikar CFA,Ashwin Shirvaikar
Atif Rahim,Atif A. Rahim
Atul Bagga MBA,Atul Bagga
Barbara Coffey,Barbara L. Coffey
Ben Rose,Ben Z. Rose
Ben Schachter,Benjamin Schachter
Bhavan Singh Suri,Bhavan S. Suri
Bhavan Suri,Bhavan S. Suri
Blair Abernethy,Blair H. Abernethy
Brad Alan Zelnick,Brad A. Zelnick
Brad Zelnick,Brad A. Zelnick
Brad Smith,Brad D. Smith
Brad Whitt,Brad G. Whitt
Bradley Whitt,Brad G. Whitt
Brad Reback,Brad R. Reback
Brad Robert Reback,Brad R. Reback
Brad Sills,Bradley H. Sills
Bradley Sills,Bradley H. Sills
Brendan Barnicle,Brendan J. Barnicle
Brendan John Barnicle,Brendan J. Barnicle
Brent J. Thill,Brent John Thill
Brent Thill,Brent John Thill
Brent Thrill,Brent John Thill
Bret Jones,Bret D. Jones
Brian Pitz,Brian J. Pitz
Brian Schwartz,Brian J. Schwartz
Brian White,Brian J. White
Brian Beattie,Brian M. Beattie
Brian Fitzgerald,Brian P. Fitzgerald
